plate_number,starting_price,min_increment,current_offer,time_to_go,offers_number
195,3'000,100,11'200,5 giorni 08:57:13,11
1579,3'000,100,4'000,8 giorni 08:57:13,5
10492,1'000,50,900,5 giorni 08:57:13,2
40504,1'000,50,600,8 giorni 08:57:13,1
21903,800,N/A,N/A,N/A,N/A
25451,800,N/A,N/A,N/A,N/A
34528,600,N/A,N/A,N/A,N/A
39562,600,N/A,N/A,N/A,N/A
43872,550,N/A,N/A,N/A,N/A
57351,600,N/A,N/A,N/A,N/A
61504,500,N/A,N/A,N/A,N/A
67571,450,N/A,N/A,N/A,N/A
70451,400,N/A,N/A,N/A,N/A
93847,400,N/A,N/A,N/A,N/A
111439,350,N/A,N/A,N/A,N/A
174333,400,N/A,N/A,N/A,N/A
308111,300,N/A,N/A,N/A,N/A
